file	sample	sample_name	condition	replicate
/scratch/lb4489/project/hcc/iprox/L001_P/CNHPP_HCC_LC_profiling_L001_P_F4.mzML	L001_P	L001_P	L001	1
/scratch/lb4489/project/hcc/iprox/L001_P/CNHPP_HCC_LC_profiling_L001_P_F6.mzML	L001_P	L001_P	L001	1
/scratch/lb4489/project/hcc/iprox/L001_P/CNHPP_HCC_LC_profiling_L001_P_F5.mzML	L001_P	L001_P	L001	1
/scratch/lb4489/project/hcc/iprox/L001_P/CNHPP_HCC_LC_profiling_L001_P_F3.mzML	L001_P	L001_P	L001	1
/scratch/lb4489/project/hcc/iprox/L001_P/CNHPP_HCC_LC_profiling_L001_P_F2.mzML	L001_P	L001_P	L001	1
/scratch/lb4489/project/hcc/iprox/L001_P/CNHPP_HCC_LC_profiling_L001_P_F1.mzML	L001_P	L001_P	L001	1
/scratch/lb4489/project/hcc/iprox/L001_T/CNHPP_HCC_LC_profiling_L001_T_F1.mzML	L001_T	L001_T	L001	1
/scratch/lb4489/project/hcc/iprox/L001_T/CNHPP_HCC_LC_profiling_L001_T_F5.mzML	L001_T	L001_T	L001	1
/scratch/lb4489/project/hcc/iprox/L001_T/CNHPP_HCC_LC_profiling_L001_T_F2.mzML	L001_T	L001_T	L001	1
/scratch/lb4489/project/hcc/iprox/L001_T/CNHPP_HCC_LC_profiling_L001_T_F3.mzML	L001_T	L001_T	L001	1
/scratch/lb4489/project/hcc/iprox/L001_T/CNHPP_HCC_LC_profiling_L001_T_F4.mzML	L001_T	L001_T	L001	1
/scratch/lb4489/project/hcc/iprox/L001_T/CNHPP_HCC_LC_profiling_L001_T_F6.mzML	L001_T	L001_T	L001	1
/scratch/lb4489/project/hcc/iprox/L002_P/CNHPP_HCC_LC_profiling_L002_P_F4.mzML	L002_P	L002_P	L002	1
/scratch/lb4489/project/hcc/iprox/L002_P/CNHPP_HCC_LC_profiling_L002_P_F3.mzML	L002_P	L002_P	L002	1
/scratch/lb4489/project/hcc/iprox/L002_P/CNHPP_HCC_LC_profiling_L002_P_F1.mzML	L002_P	L002_P	L002	1
/scratch/lb4489/project/hcc/iprox/L002_P/CNHPP_HCC_LC_profiling_L002_P_F5.mzML	L002_P	L002_P	L002	1
/scratch/lb4489/project/hcc/iprox/L002_P/CNHPP_HCC_LC_profiling_L002_P_F2.mzML	L002_P	L002_P	L002	1
/scratch/lb4489/project/hcc/iprox/L002_P/CNHPP_HCC_LC_profiling_L002_P_F6.mzML	L002_P	L002_P	L002	1
/scratch/lb4489/project/hcc/iprox/L002_T/CNHPP_HCC_LC_profiling_L002_T_F5.mzML	L002_T	L002_T	L002	1
/scratch/lb4489/project/hcc/iprox/L002_T/CNHPP_HCC_LC_profiling_L002_T_F3.mzML	L002_T	L002_T	L002	1
/scratch/lb4489/project/hcc/iprox/L002_T/CNHPP_HCC_LC_profiling_L002_T_F4.mzML	L002_T	L002_T	L002	1
/scratch/lb4489/project/hcc/iprox/L002_T/CNHPP_HCC_LC_profiling_L002_T_F2.mzML	L002_T	L002_T	L002	1
/scratch/lb4489/project/hcc/iprox/L002_T/CNHPP_HCC_LC_profiling_L002_T_F6.mzML	L002_T	L002_T	L002	1
/scratch/lb4489/project/hcc/iprox/L002_T/CNHPP_HCC_LC_profiling_L002_T_F1.mzML	L002_T	L002_T	L002	1
/scratch/lb4489/project/hcc/iprox/L003_P/CNHPP_HCC_LC_profiling_L003_P_F4.mzML	L003_P	L003_P	L003	1
/scratch/lb4489/project/hcc/iprox/L003_P/CNHPP_HCC_LC_profiling_L003_P_F2.mzML	L003_P	L003_P	L003	1
/scratch/lb4489/project/hcc/iprox/L003_P/CNHPP_HCC_LC_profiling_L003_P_F3.mzML	L003_P	L003_P	L003	1
/scratch/lb4489/project/hcc/iprox/L003_P/CNHPP_HCC_LC_profiling_L003_P_F6.mzML	L003_P	L003_P	L003	1
/scratch/lb4489/project/hcc/iprox/L003_P/CNHPP_HCC_LC_profiling_L003_P_F5.mzML	L003_P	L003_P	L003	1
/scratch/lb4489/project/hcc/iprox/L003_P/CNHPP_HCC_LC_profiling_L003_P_F1.mzML	L003_P	L003_P	L003	1
/scratch/lb4489/project/hcc/iprox/L003_T/CNHPP_HCC_LC_profiling_L003_T_F2.mzML	L003_T	L003_T	L003	1
/scratch/lb4489/project/hcc/iprox/L003_T/CNHPP_HCC_LC_profiling_L003_T_F6.mzML	L003_T	L003_T	L003	1
/scratch/lb4489/project/hcc/iprox/L003_T/CNHPP_HCC_LC_profiling_L003_T_F5.mzML	L003_T	L003_T	L003	1
/scratch/lb4489/project/hcc/iprox/L003_T/CNHPP_HCC_LC_profiling_L003_T_F3.mzML	L003_T	L003_T	L003	1
/scratch/lb4489/project/hcc/iprox/L003_T/CNHPP_HCC_LC_profiling_L003_T_F1.mzML	L003_T	L003_T	L003	1
/scratch/lb4489/project/hcc/iprox/L003_T/CNHPP_HCC_LC_profiling_L003_T_F4.mzML	L003_T	L003_T	L003	1
/scratch/lb4489/project/hcc/iprox/L004_P/CNHPP_HCC_LC_profiling_L004_P_F6.mzML	L004_P	L004_P	L004	1
/scratch/lb4489/project/hcc/iprox/L004_P/CNHPP_HCC_LC_profiling_L004_P_F1.mzML	L004_P	L004_P	L004	1
/scratch/lb4489/project/hcc/iprox/L004_P/CNHPP_HCC_LC_profiling_L004_P_F4.mzML	L004_P	L004_P	L004	1
/scratch/lb4489/project/hcc/iprox/L004_P/CNHPP_HCC_LC_profiling_L004_P_F3.mzML	L004_P	L004_P	L004	1
/scratch/lb4489/project/hcc/iprox/L004_P/CNHPP_HCC_LC_profiling_L004_P_F5.mzML	L004_P	L004_P	L004	1
/scratch/lb4489/project/hcc/iprox/L004_P/CNHPP_HCC_LC_profiling_L004_P_F2.mzML	L004_P	L004_P	L004	1
/scratch/lb4489/project/hcc/iprox/L004_T/CNHPP_HCC_LC_profiling_L004_T_F6.mzML	L004_T	L004_T	L004	1
/scratch/lb4489/project/hcc/iprox/L004_T/CNHPP_HCC_LC_profiling_L004_T_F3.mzML	L004_T	L004_T	L004	1
/scratch/lb4489/project/hcc/iprox/L004_T/CNHPP_HCC_LC_profiling_L004_T_F2.mzML	L004_T	L004_T	L004	1
/scratch/lb4489/project/hcc/iprox/L004_T/CNHPP_HCC_LC_profiling_L004_T_F1.mzML	L004_T	L004_T	L004	1
/scratch/lb4489/project/hcc/iprox/L004_T/CNHPP_HCC_LC_profiling_L004_T_F5.mzML	L004_T	L004_T	L004	1
/scratch/lb4489/project/hcc/iprox/L004_T/CNHPP_HCC_LC_profiling_L004_T_F4.mzML	L004_T	L004_T	L004	1
/scratch/lb4489/project/hcc/iprox/L005_P/CNHPP_HCC_LC_profiling_L005_P_F1.mzML	L005_P	L005_P	L005	1
/scratch/lb4489/project/hcc/iprox/L005_P/CNHPP_HCC_LC_profiling_L005_P_F4.mzML	L005_P	L005_P	L005	1
/scratch/lb4489/project/hcc/iprox/L005_P/CNHPP_HCC_LC_profiling_L005_P_F2.mzML	L005_P	L005_P	L005	1
/scratch/lb4489/project/hcc/iprox/L005_P/CNHPP_HCC_LC_profiling_L005_P_F5.mzML	L005_P	L005_P	L005	1
/scratch/lb4489/project/hcc/iprox/L005_P/CNHPP_HCC_LC_profiling_L005_P_F3.mzML	L005_P	L005_P	L005	1
/scratch/lb4489/project/hcc/iprox/L005_P/CNHPP_HCC_LC_profiling_L005_P_F6.mzML	L005_P	L005_P	L005	1
/scratch/lb4489/project/hcc/iprox/L005_T/CNHPP_HCC_LC_profiling_L005_T_F5.mzML	L005_T	L005_T	L005	1
/scratch/lb4489/project/hcc/iprox/L005_T/CNHPP_HCC_LC_profiling_L005_T_F3.mzML	L005_T	L005_T	L005	1
/scratch/lb4489/project/hcc/iprox/L005_T/CNHPP_HCC_LC_profiling_L005_T_F4.mzML	L005_T	L005_T	L005	1
/scratch/lb4489/project/hcc/iprox/L005_T/CNHPP_HCC_LC_profiling_L005_T_F1.mzML	L005_T	L005_T	L005	1
/scratch/lb4489/project/hcc/iprox/L005_T/CNHPP_HCC_LC_profiling_L005_T_F2.mzML	L005_T	L005_T	L005	1
/scratch/lb4489/project/hcc/iprox/L005_T/CNHPP_HCC_LC_profiling_L005_T_F6.mzML	L005_T	L005_T	L005	1
/scratch/lb4489/project/hcc/iprox/L006_P/CNHPP_HCC_LC_profiling_L006_P_F5.mzML	L006_P	L006_P	L006	1
/scratch/lb4489/project/hcc/iprox/L006_P/CNHPP_HCC_LC_profiling_L006_P_F4.mzML	L006_P	L006_P	L006	1
/scratch/lb4489/project/hcc/iprox/L006_P/CNHPP_HCC_LC_profiling_L006_P_F2.mzML	L006_P	L006_P	L006	1
/scratch/lb4489/project/hcc/iprox/L006_P/CNHPP_HCC_LC_profiling_L006_P_F3.mzML	L006_P	L006_P	L006	1
/scratch/lb4489/project/hcc/iprox/L006_P/CNHPP_HCC_LC_profiling_L006_P_F1.mzML	L006_P	L006_P	L006	1
/scratch/lb4489/project/hcc/iprox/L006_P/CNHPP_HCC_LC_profiling_L006_P_F6.mzML	L006_P	L006_P	L006	1
/scratch/lb4489/project/hcc/iprox/L006_T/CNHPP_HCC_LC_profiling_L006_T_F1.mzML	L006_T	L006_T	L006	1
/scratch/lb4489/project/hcc/iprox/L006_T/CNHPP_HCC_LC_profiling_L006_T_F5.mzML	L006_T	L006_T	L006	1
/scratch/lb4489/project/hcc/iprox/L006_T/CNHPP_HCC_LC_profiling_L006_T_F6.mzML	L006_T	L006_T	L006	1
/scratch/lb4489/project/hcc/iprox/L006_T/CNHPP_HCC_LC_profiling_L006_T_F3.mzML	L006_T	L006_T	L006	1
/scratch/lb4489/project/hcc/iprox/L006_T/CNHPP_HCC_LC_profiling_L006_T_F2.mzML	L006_T	L006_T	L006	1
/scratch/lb4489/project/hcc/iprox/L006_T/CNHPP_HCC_LC_profiling_L006_T_F4.mzML	L006_T	L006_T	L006	1
/scratch/lb4489/project/hcc/iprox/L007_P/CNHPP_HCC_LC_profiling_L007_P_F3.mzML	L007_P	L007_P	L007	1
/scratch/lb4489/project/hcc/iprox/L007_P/CNHPP_HCC_LC_profiling_L007_P_F6.mzML	L007_P	L007_P	L007	1
